framework,family,class,parameter_name,value_default,value_type,description
tpot,classification,GaussianNB,(none),,fixed,No tunable hyperparameters
tpot,classification,BernoulliNB,alpha,1.0,"Float(0.001, 100.0)","Additive (Laplace/Lidstone) smoothing parameter
(set alpha=0 and force_alpha=True, for no smoothing)."
tpot,classification,BernoulliNB,fit_prior,True,bool,"Whether to learn class prior probabilities or not.
If false, a uniform prior will be used."
tpot,classification,MultinomialNB,alpha,1.0,"Float(0.001, 100.0)","Additive (Laplace/Lidstone) smoothing parameter
(set alpha=0 and force_alpha=True, for no smoothing)."
tpot,classification,MultinomialNB,fit_prior,True,bool,"Whether to learn class prior probabilities or not.
If false, a uniform prior will be used."
tpot,classification,DecisionTreeClassifier,criterion,gini,"Categorical(['gini', 'entropy'])","The function to measure the quality of a split. Supported criteria are
""gini"" for the Gini impurity and ""log_loss"" and ""entropy"" both for the
Shannon information gain, see :ref:`tree_mathematical_formulation`."
tpot,classification,DecisionTreeClassifier,max_depth,None,"Integer(1, 10)","The maximum depth of the tree. If None, then nodes are expanded until
all leaves are pure or until all leaves contain less than
min_samples_split samples."
tpot,classification,DecisionTreeClassifier,min_samples_split,2,"Integer(2, 20)","The minimum number of samples required to split an internal node:

- If int, then consider `min_samples_split` as the minimum number.
- If float, then `min_samples_split` is a fraction and
  `ceil(min_samples_split * n_samples)` are the minimum
  number of samples for each split.

.. versionchanged:: 0.18
   Added float values for fractions."
tpot,classification,DecisionTreeClassifier,min_samples_leaf,1,"Integer(1, 20)","The minimum number of samples required to be at a leaf node.
A split point at any depth will only be considered if it leaves at
least ``min_samples_leaf`` training samples in each of the left and
right branches.  This may have the effect of smoothing the model,
especially in regression.

- If int, then consider `min_samples_leaf` as the minimum number.
- If float, then `min_samples_leaf` is a fraction and
  `ceil(min_samples_leaf * n_samples)` are the minimum
  number of samples for each node.

.. versionchanged:: 0.18
   Added float values for fractions."
tpot,classification,ExtraTreesClassifier,n_estimators,100,"Integer(100, 100)","The number of trees in the forest.

.. versionchanged:: 0.22
   The default value of ``n_estimators`` changed from 10 to 100
   in 0.22."
tpot,classification,ExtraTreesClassifier,criterion,gini,"Categorical(['gini', 'entropy'])","The function to measure the quality of a split. Supported criteria are
""gini"" for the Gini impurity and ""log_loss"" and ""entropy"" both for the
Shannon information gain, see :ref:`tree_mathematical_formulation`.
Note: This parameter is tree-specific."
tpot,classification,ExtraTreesClassifier,max_features,sqrt,"Float(0.05, 1.0)","The number of features to consider when looking for the best split:

- If int, then consider `max_features` features at each split.
- If float, then `max_features` is a fraction and
  `max(1, int(max_features * n_features_in_))` features are considered at each
  split.
- If ""sqrt"", then `max_features=sqrt(n_features)`.
- If ""log2"", then `max_features=log2(n_features)`.
- If None, then `max_features=n_features`.

.. versionchanged:: 1.1
    The default of `max_features` changed from `""auto""` to `""sqrt""`.
Note: the search for a split does not stop until at least one
valid partition of the node samples is found, even if it requires to
effectively inspect more than ``max_features`` features."
tpot,classification,ExtraTreesClassifier,min_samples_split,2,"Integer(2, 20)","The minimum number of samples required to split an internal node:

- If int, then consider `min_samples_split` as the minimum number.
- If float, then `min_samples_split` is a fraction and
  `ceil(min_samples_split * n_samples)` are the minimum
  number of samples for each split.

.. versionchanged:: 0.18
   Added float values for fractions."
tpot,classification,ExtraTreesClassifier,min_samples_leaf,1,"Integer(1, 20)","The minimum number of samples required to be at a leaf node.
A split point at any depth will only be considered if it leaves at
least ``min_samples_leaf`` training samples in each of the left and
right branches.  This may have the effect of smoothing the model,
especially in regression.

- If int, then consider `min_samples_leaf` as the minimum number.
- If float, then `min_samples_leaf` is a fraction and
  `ceil(min_samples_leaf * n_samples)` are the minimum
  number of samples for each node.

.. versionchanged:: 0.18
   Added float values for fractions."
tpot,classification,ExtraTreesClassifier,bootstrap,False,bool,"Whether bootstrap samples are used when building trees. If False, the
whole dataset is used to build each tree."
