framework,family,class,parameter_name,value_default,value_type,description
h2o,anovaglm,H2OANOVAGLMEstimator,model_id,None,key<model>,Destination id for this model; auto-generated if not specified.
h2o,anovaglm,H2OANOVAGLMEstimator,training_frame,None,key<frame>,Id of the training data frame.
h2o,anovaglm,H2OANOVAGLMEstimator,seed,-1,long,Seed for pseudo random number generator (if applicable)
h2o,anovaglm,H2OANOVAGLMEstimator,response_column,None,vecspecifier,Response variable column.
h2o,anovaglm,H2OANOVAGLMEstimator,ignored_columns,None,string[],Names of columns to ignore for training.
h2o,anovaglm,H2OANOVAGLMEstimator,ignore_const_cols,True,bool,Ignore constant columns.
h2o,anovaglm,H2OANOVAGLMEstimator,score_each_iteration,False,bool,Whether to score during each iteration of model training.
h2o,anovaglm,H2OANOVAGLMEstimator,offset_column,None,vecspecifier,Offset column. This will be added to the combination of columns before applying the link function.
h2o,anovaglm,H2OANOVAGLMEstimator,weights_column,None,vecspecifier,"Column with observation weights. Giving some observation a weight of zero is equivalent to excluding it from the dataset; giving an observation a relative weight of 2 is equivalent to repeating that row twice. Negative weights are not allowed. Note: Weights are per-row observation weights and do not increase the size of the data frame. This is typically the number of times a row is repeated, but non-integer values are supported as well. During training, rows with higher weights matter more, due to the larger loss function pre-factor. If you set weight = 0 for a row, the returned prediction frame at that row is zero and this is incorrect. To get an accurate prediction, remove all rows with weight == 0."
h2o,anovaglm,H2OANOVAGLMEstimator,family,AUTO,"Categorical(['AUTO', 'gaussian', 'binomial', 'fractionalbinomial', 'quasibinomial', 'poisson', 'gamma', 'tweedie', 'negativebinomial'])","Family. Use binomial for classification with logistic regression, others are for regression problems."
h2o,anovaglm,H2OANOVAGLMEstimator,tweedie_variance_power,0.0,float,Tweedie variance power
h2o,anovaglm,H2OANOVAGLMEstimator,tweedie_link_power,1.0,float,Tweedie link power
h2o,anovaglm,H2OANOVAGLMEstimator,theta,0.0,float,Theta
h2o,anovaglm,H2OANOVAGLMEstimator,solver,IRLSM,"Categorical(['AUTO', 'IRLSM', 'L_BFGS', 'COORDINATE_DESCENT_NAIVE', 'COORDINATE_DESCENT', 'GRADIENT_DESCENT_LH', 'GRADIENT_DESCENT_SQERR'])","AUTO will set the solver based on given data and the other parameters. IRLSM is fast on on problems with small number of predictors and for lambda-search with L1 penalty, L_BFGS scales better for datasets with many columns."
h2o,anovaglm,H2OANOVAGLMEstimator,missing_values_handling,MeanImputation,"Categorical(['MeanImputation', 'Skip', 'PlugValues'])","Handling of missing values. Either MeanImputation, Skip or PlugValues."
h2o,anovaglm,H2OANOVAGLMEstimator,plug_values,None,key<frame>,"Plug Values (a single row frame containing values that will be used to impute missing values of the training/validation frame, use with conjunction missing_values_handling = PlugValues)"
h2o,anovaglm,H2OANOVAGLMEstimator,compute_p_values,True,bool,"Request p-values computation, p-values work only with IRLSM solver and no regularization"
h2o,anovaglm,H2OANOVAGLMEstimator,standardize,True,bool,Standardize numeric columns to have zero mean and unit variance
h2o,anovaglm,H2OANOVAGLMEstimator,non_negative,False,bool,Restrict coefficients (not intercept) to be non-negative
h2o,anovaglm,H2OANOVAGLMEstimator,max_iterations,0,int,Maximum number of iterations
h2o,anovaglm,H2OANOVAGLMEstimator,link,family_default,"Categorical(['family_default', 'identity', 'logit', 'log', 'inverse', 'tweedie', 'ologit'])",Link function.
h2o,anovaglm,H2OANOVAGLMEstimator,prior,0.0,float,Prior probability for y==1. To be used only for logistic regression iff the data has been sampled and the mean of response does not reflect reality.
h2o,anovaglm,H2OANOVAGLMEstimator,alpha,None,float,"Distribution of regularization between the L1 (Lasso) and L2 (Ridge) penalties. A value of 1 for alpha represents Lasso regression, a value of 0 produces Ridge regression, and anything in between specifies the amount of mixing between the two. Default value of alpha is 0 when SOLVER = 'L-BFGS'; 0.5 otherwise."
h2o,anovaglm,H2OANOVAGLMEstimator,lambda,[0.0],float,Regularization strength
h2o,anovaglm,H2OANOVAGLMEstimator,lambda_search,False,bool,"Use lambda search starting at lambda max, given lambda is then interpreted as lambda min"
h2o,anovaglm,H2OANOVAGLMEstimator,stopping_rounds,0,int,Early stopping based on convergence of stopping_metric. Stop if simple moving average of length k of the stopping_metric does not improve for k:=stopping_rounds scoring events (0 to disable)
h2o,anovaglm,H2OANOVAGLMEstimator,stopping_metric,AUTO,"Categorical(['AUTO', 'deviance', 'logloss', 'MSE', 'RMSE', 'MAE', 'RMSLE', 'AUC', 'AUCPR', 'lift_top_group', 'misclassification', 'mean_per_class_error', 'anomaly_score', 'AUUC', 'ATE', 'ATT', 'ATC', 'qini', 'custom', 'custom_increasing'])","Metric to use for early stopping (AUTO: logloss for classification, deviance for regression and anomaly_score for Isolation Forest). Note that custom and custom_increasing can only be used in GBM and DRF with the Python client."
h2o,anovaglm,H2OANOVAGLMEstimator,early_stopping,False,bool,Stop early when there is no more relative improvement on train or validation (if provided).
h2o,anovaglm,H2OANOVAGLMEstimator,stopping_tolerance,0.001,float,Relative tolerance for metric-based stopping criterion (stop if relative improvement is not at least this much)
h2o,anovaglm,H2OANOVAGLMEstimator,balance_classes,False,bool,Balance training data class counts via over/under-sampling (for imbalanced data).
h2o,anovaglm,H2OANOVAGLMEstimator,class_sampling_factors,None,float,"Desired over/under-sampling ratios per class (in lexicographic order). If not specified, sampling factors will be automatically computed to obtain class balance during training. Requires balance_classes."
