framework,family,class,parameter_name,value_default,value_type,description
autosklearn,classification,adaboost,algorithm,SAMME.R,"Categorical(['SAMME.R', 'SAMME'])","If 'SAMME.R' then use the SAMME.R real boosting algorithm.
``estimator`` must support calculation of class probabilities.
If 'SAMME' then use the SAMME discrete boosting algorithm.
The SAMME.R algorithm typically converges faster than SAMME,
achieving a lower test error with fewer boosting iterations."
autosklearn,classification,adaboost,learning_rate,0.1,"Float(0.01, 2.0_log)","Weight applied to each classifier at each boosting iteration. A higher
learning rate increases the contribution of each classifier. There is
a trade-off between the `learning_rate` and `n_estimators` parameters.
Values must be in the range `(0.0, inf)`."
autosklearn,classification,adaboost,max_depth,1,"Integer(1, 10)",
autosklearn,classification,adaboost,n_estimators,50,"Integer(50, 500)","The maximum number of estimators at which boosting is terminated.
In case of perfect fit, the learning procedure is stopped early.
Values must be in the range `[1, inf)`."
autosklearn,classification,bernoulli_nb,alpha,1.0,"Float(0.01, 100.0_log)","Additive (Laplace/Lidstone) smoothing parameter
(set alpha=0 and force_alpha=True, for no smoothing)."
autosklearn,classification,bernoulli_nb,fit_prior,True,"Categorical(['True', 'False'])","Whether to learn class prior probabilities or not.
If false, a uniform prior will be used."
autosklearn,classification,decision_tree,criterion,gini,"Categorical(['gini', 'entropy'])","The function to measure the quality of a split. Supported criteria are
""gini"" for the Gini impurity and ""log_loss"" and ""entropy"" both for the
Shannon information gain, see :ref:`tree_mathematical_formulation`."
autosklearn,classification,decision_tree,max_depth_factor,0.5,"Float(0.0, 2.0)",
autosklearn,classification,decision_tree,max_features,1.0,UnParametrizedHyperparameter,"The number of features to consider when looking for the best split:

    - If int, then consider `max_features` features at each split.
    - If float, then `max_features` is a fraction and
      `max(1, int(max_features * n_features_in_))` features are considered at
      each split.
    - If ""sqrt"", then `max_features=sqrt(n_features)`.
    - If ""log2"", then `max_features=log2(n_features)`.
    - If None, then `max_features=n_features`.
Note: the search for a split does not stop until at least one
valid partition of the node samples is found, even if it requires to
effectively inspect more than ``max_features`` features."
autosklearn,classification,decision_tree,max_leaf_nodes,None,UnParametrizedHyperparameter,"Grow a tree with ``max_leaf_nodes`` in best-first fashion.
Best nodes are defined as relative reduction in impurity.
If None then unlimited number of leaf nodes."
autosklearn,classification,decision_tree,min_impurity_decrease,0.0,UnParametrizedHyperparameter,"A node will be split if this split induces a decrease of the impurity
greater than or equal to this value.

The weighted impurity decrease equation is the following::

    N_t / N * (impurity - N_t_R / N_t * right_impurity
                        - N_t_L / N_t * left_impurity)

where ``N`` is the total number of samples, ``N_t`` is the number of
samples at the current node, ``N_t_L`` is the number of samples in the
left child, and ``N_t_R`` is the number of samples in the right child.

``N``, ``N_t``, ``N_t_R`` and ``N_t_L`` all refer to the weighted sum,
if ``sample_weight`` is passed.

.. versionadded:: 0.19"
autosklearn,classification,decision_tree,min_samples_leaf,1,"Integer(1, 20)","The minimum number of samples required to be at a leaf node.
A split point at any depth will only be considered if it leaves at
least ``min_samples_leaf`` training samples in each of the left and
right branches.  This may have the effect of smoothing the model,
especially in regression.

- If int, then consider `min_samples_leaf` as the minimum number.
- If float, then `min_samples_leaf` is a fraction and
  `ceil(min_samples_leaf * n_samples)` are the minimum
  number of samples for each node.

.. versionchanged:: 0.18
   Added float values for fractions."
autosklearn,classification,decision_tree,min_samples_split,2,"Integer(2, 20)","The minimum number of samples required to split an internal node:

- If int, then consider `min_samples_split` as the minimum number.
- If float, then `min_samples_split` is a fraction and
  `ceil(min_samples_split * n_samples)` are the minimum
  number of samples for each split.

.. versionchanged:: 0.18
   Added float values for fractions."
autosklearn,classification,decision_tree,min_weight_fraction_leaf,0.0,Constant,"The minimum weighted fraction of the sum total of weights (of all
the input samples) required to be at a leaf node. Samples have
equal weight when sample_weight is not provided."
autosklearn,classification,extra_trees,bootstrap,False,"Categorical(['True', 'False'])","Whether bootstrap samples are used when building trees. If False, the
whole dataset is used to build each tree."
autosklearn,classification,extra_trees,criterion,gini,"Categorical(['gini', 'entropy'])","The function to measure the quality of a split. Supported criteria are
""gini"" for the Gini impurity and ""log_loss"" and ""entropy"" both for the
Shannon information gain, see :ref:`tree_mathematical_formulation`.
Note: This parameter is tree-specific."
autosklearn,classification,extra_trees,max_depth,None,UnParametrizedHyperparameter,"The maximum depth of the tree. If None, then nodes are expanded until
all leaves are pure or until all leaves contain less than
min_samples_split samples."
autosklearn,classification,extra_trees,max_features,0.5,"Float(0.0, 1.0)","The number of features to consider when looking for the best split:

- If int, then consider `max_features` features at each split.
- If float, then `max_features` is a fraction and
  `max(1, int(max_features * n_features_in_))` features are considered at each
  split.
- If ""sqrt"", then `max_features=sqrt(n_features)`.
- If ""log2"", then `max_features=log2(n_features)`.
- If None, then `max_features=n_features`.

.. versionchanged:: 1.1
    The default of `max_features` changed from `""auto""` to `""sqrt""`.
Note: the search for a split does not stop until at least one
valid partition of the node samples is found, even if it requires to
effectively inspect more than ``max_features`` features."
autosklearn,classification,extra_trees,max_leaf_nodes,None,UnParametrizedHyperparameter,"Grow trees with ``max_leaf_nodes`` in best-first fashion.
Best nodes are defined as relative reduction in impurity.
If None then unlimited number of leaf nodes."
autosklearn,classification,extra_trees,min_impurity_decrease,0.0,UnParametrizedHyperparameter,"A node will be split if this split induces a decrease of the impurity
greater than or equal to this value.

The weighted impurity decrease equation is the following::

    N_t / N * (impurity - N_t_R / N_t * right_impurity
                        - N_t_L / N_t * left_impurity)

where ``N`` is the total number of samples, ``N_t`` is the number of
samples at the current node, ``N_t_L`` is the number of samples in the
left child, and ``N_t_R`` is the number of samples in the right child.

``N``, ``N_t``, ``N_t_R`` and ``N_t_L`` all refer to the weighted sum,
if ``sample_weight`` is passed.

.. versionadded:: 0.19"
autosklearn,classification,extra_trees,min_samples_leaf,1,"Integer(1, 20)","The minimum number of samples required to be at a leaf node.
A split point at any depth will only be considered if it leaves at
least ``min_samples_leaf`` training samples in each of the left and
right branches.  This may have the effect of smoothing the model,
especially in regression.

- If int, then consider `min_samples_leaf` as the minimum number.
- If float, then `min_samples_leaf` is a fraction and
  `ceil(min_samples_leaf * n_samples)` are the minimum
  number of samples for each node.

.. versionchanged:: 0.18
   Added float values for fractions."
autosklearn,classification,extra_trees,min_samples_split,2,"Integer(2, 20)","The minimum number of samples required to split an internal node:

- If int, then consider `min_samples_split` as the minimum number.
- If float, then `min_samples_split` is a fraction and
  `ceil(min_samples_split * n_samples)` are the minimum
  number of samples for each split.

.. versionchanged:: 0.18
   Added float values for fractions."
autosklearn,classification,extra_trees,min_weight_fraction_leaf,0.0,UnParametrizedHyperparameter,"The minimum weighted fraction of the sum total of weights (of all
the input samples) required to be at a leaf node. Samples have
equal weight when sample_weight is not provided."
autosklearn,classification,gaussian_nb,(none),,fixed,No tunable HPs
autosklearn,classification,gradient_boosting,early_stop,off,"Categorical(['off', 'valid', 'train'])",
autosklearn,classification,gradient_boosting,l2_regularization,1e-10,"Float(1e-10, 1.0_log)",
