framework,family,class,parameter_name,value_default,value_type,description
flaml,model,LGBMEstimator,n_estimators,,"{'domain': <flaml.tune.sample.Integer object at 0x74bb86d6c880>, 'init_value': 4, 'low_cost_init_value': 4}",
flaml,model,LGBMEstimator,num_leaves,,"{'domain': <flaml.tune.sample.Integer object at 0x74bb86d6ca30>, 'init_value': 4, 'low_cost_init_value': 4}",
flaml,model,LGBMEstimator,min_child_samples,,"{'domain': <flaml.tune.sample.Integer object at 0x74bb86d6c8e0>, 'init_value': 20}",
flaml,model,LGBMEstimator,learning_rate,,"{'domain': <flaml.tune.sample.Float object at 0x74bb86d6cbb0>, 'init_value': 0.1}",
flaml,model,LGBMEstimator,log_max_bin,,"{'domain': <flaml.tune.sample.Integer object at 0x74bb86d6cb50>, 'init_value': 8}",
flaml,model,LGBMEstimator,colsample_bytree,,"{'domain': <flaml.tune.sample.Float object at 0x74bb86d6cc70>, 'init_value': 1.0}",
flaml,model,LGBMEstimator,reg_alpha,,"{'domain': <flaml.tune.sample.Float object at 0x74bb86d6cd00>, 'init_value': 0.0009765625}",
flaml,model,LGBMEstimator,reg_lambda,,"{'domain': <flaml.tune.sample.Float object at 0x74bb86d6cdc0>, 'init_value': 1.0}",
flaml,model,LGBMEstimator,boosting_type,gbdt,str,"'gbdt', traditional Gradient Boosting Decision Tree.
'dart', Dropouts meet Multiple Additive Regression Trees.
'rf', Random Forest."
flaml,model,LGBMEstimator,max_depth,-1,int,"Maximum tree depth for base learners, <=0 means no limit.
If setting this to a positive value, consider also changing ``num_leaves`` to ``<= 2^max_depth``."
flaml,model,LGBMEstimator,subsample_for_bin,200000,int,Number of samples for constructing bins.
flaml,model,LGBMEstimator,objective,None,NoneType,"Specify the learning task and the corresponding learning objective or
a custom objective function to be used (see note below).
Default: 'regression' for LGBMRegressor, 'binary' or 'multiclass' for LGBMClassifier, 'lambdarank' for LGBMRanker."
flaml,model,LGBMEstimator,class_weight,None,NoneType,"Weights associated with classes in the form ``{class_label: weight}``.
Use this parameter only for multi-class classification task;
for binary classification task you may use ``is_unbalance`` or ``scale_pos_weight`` parameters.
Note, that the usage of all these parameters will result in poor estimates of the individual class probabilities.
You may want to consider performing probability calibration
(https://scikit-learn.org/stable/modules/calibration.html) of your model.
The 'balanced' mode uses the values of y to automatically adjust weights
inversely proportional to class frequencies in the input data as ``n_samples / (n_classes * np.bincount(y))``.
If None, all classes are supposed to have weight one.
Note, that these weights will be multiplied with ``sample_weight`` (passed through the ``fit`` method)
if ``sample_weight`` is specified."
flaml,model,LGBMEstimator,min_split_gain,0.0,float,Minimum loss reduction required to make a further partition on a leaf node of the tree.
flaml,model,LGBMEstimator,min_child_weight,0.001,float,Minimum sum of instance weight (Hessian) needed in a child (leaf).
flaml,model,LGBMEstimator,subsample,1.0,float,Subsample ratio of the training instance.
flaml,model,LGBMEstimator,subsample_freq,0,int,"Frequency of subsample, <=0 means no enable."
flaml,model,LGBMEstimator,random_state,None,NoneType,"Random number seed.
If int, this number is used to seed the C++ code.
If RandomState or Generator object (numpy), a random integer is picked based on its state to seed the C++ code.
If None, default seeds in C++ code are used."
flaml,model,LGBMEstimator,n_jobs,None,NoneType,"Number of parallel threads to use for training (can be changed at prediction time by
passing it as an extra keyword argument).

For better performance, it is recommended to set this to the number of physical cores
in the CPU.

Negative integers are interpreted as following joblib's formula (n_cpus + 1 + n_jobs), just like
scikit-learn (so e.g. -1 means using all threads). A value of zero corresponds the default number of
threads configured for OpenMP in the system. A value of ``None`` (the default) corresponds
to using the number of physical cores in the system (its correct detection requires
either the ``joblib`` or the ``psutil`` util libraries to be installed).

.. versionchanged:: 4.0.0"
flaml,model,LGBMEstimator,importance_type,split,str,"The type of feature importance to be filled into ``feature_importances_``.
If 'split', result contains numbers of times the feature is used in a model.
If 'gain', result contains total gains of splits which use the feature."
flaml,model,XGBoostEstimator,n_estimators,,"{'domain': <flaml.tune.sample.Integer object at 0x74bb86d6cd90>, 'init_value': 4, 'low_cost_init_value': 4}",
flaml,model,XGBoostEstimator,max_leaves,,"{'domain': <flaml.tune.sample.Integer object at 0x74bb86d6ccd0>, 'init_value': 4, 'low_cost_init_value': 4}",
flaml,model,XGBoostEstimator,max_depth,0,"{'domain': <flaml.tune.sample.Categorical object at 0x74bb86d6cac0>, 'init_value': 0}",
flaml,model,XGBoostEstimator,min_child_weight,,"{'domain': <flaml.tune.sample.Float object at 0x74bb86d6cb20>, 'init_value': 1.0}",
flaml,model,XGBoostEstimator,learning_rate,,"{'domain': <flaml.tune.sample.Float object at 0x74bb86d6cb80>, 'init_value': 0.1}",
flaml,model,XGBoostEstimator,subsample,,"{'domain': <flaml.tune.sample.Float object at 0x74bb86d6c820>, 'init_value': 1.0}",
flaml,model,XGBoostEstimator,colsample_bylevel,,"{'domain': <flaml.tune.sample.Float object at 0x74bb86d6c910>, 'init_value': 1.0}",
flaml,model,XGBoostEstimator,colsample_bytree,,"{'domain': <flaml.tune.sample.Float object at 0x74bb86d6c880>, 'init_value': 1.0}",
flaml,model,XGBoostEstimator,reg_alpha,,"{'domain': <flaml.tune.sample.Float object at 0x74bb86d6c970>, 'init_value': 0.0009765625}",
flaml,model,XGBoostEstimator,reg_lambda,,"{'domain': <flaml.tune.sample.Float object at 0x74bbf7abae50>, 'init_value': 1.0}",
flaml,model,XGBoostEstimator,objective,binary:logistic,str,"Specify the learning task and the corresponding learning objective or a custom
objective function to be used.

For custom objective, see :doc:`/tutorials/custom_metric_obj` and
:ref:`custom-obj-metric` for more information, along with the end note for
function signatures."
flaml,model,XGBoostSklearnEstimator,n_estimators,,"{'domain': <flaml.tune.sample.Integer object at 0x74bb86d6ce80>, 'init_value': 4, 'low_cost_init_value': 4}",
flaml,model,XGBoostSklearnEstimator,max_leaves,,"{'domain': <flaml.tune.sample.Integer object at 0x74bb86d6ca60>, 'init_value': 4, 'low_cost_init_value': 4}",
flaml,model,XGBoostSklearnEstimator,min_child_weight,,"{'domain': <flaml.tune.sample.Float object at 0x74bb86d6ca30>, 'init_value': 1.0}",
flaml,model,XGBoostSklearnEstimator,learning_rate,,"{'domain': <flaml.tune.sample.Float object at 0x74bb86d6cb80>, 'init_value': 0.1}",
flaml,model,XGBoostSklearnEstimator,subsample,,"{'domain': <flaml.tune.sample.Float object at 0x74bb86d6cb20>, 'init_value': 1.0}",
flaml,model,XGBoostSklearnEstimator,colsample_bylevel,,"{'domain': <flaml.tune.sample.Float object at 0x74bb86d6cc70>, 'init_value': 1.0}",
flaml,model,XGBoostSklearnEstimator,colsample_bytree,,"{'domain': <flaml.tune.sample.Float object at 0x74bb86d6cca0>, 'init_value': 1.0}",
flaml,model,XGBoostSklearnEstimator,reg_alpha,,"{'domain': <flaml.tune.sample.Float object at 0x74bb86d6cd30>, 'init_value': 0.0009765625}",
flaml,model,XGBoostSklearnEstimator,reg_lambda,,"{'domain': <flaml.tune.sample.Float object at 0x74bb86d6cdf0>, 'init_value': 1.0}",
flaml,model,XGBoostSklearnEstimator,objective,binary:logistic,str,"Specify the learning task and the corresponding learning objective or a custom
objective function to be used.

For custom objective, see :doc:`/tutorials/custom_metric_obj` and
:ref:`custom-obj-metric` for more information, along with the end note for
function signatures."
flaml,model,RandomForestEstimator,n_estimators,100,int,"The number of trees in the forest.

.. versionchanged:: 0.22
   The default value of ``n_estimators`` changed from 10 to 100
   in 0.22."
flaml,model,RandomForestEstimator,criterion,gini,str,"The function to measure the quality of a split. Supported criteria are
""gini"" for the Gini impurity and ""log_loss"" and ""entropy"" both for the
Shannon information gain, see :ref:`tree_mathematical_formulation`.
Note: This parameter is tree-specific."
flaml,model,RandomForestEstimator,max_depth,None,NoneType,"The maximum depth of the tree. If None, then nodes are expanded until
all leaves are pure or until all leaves contain less than
min_samples_split samples."
flaml,model,RandomForestEstimator,min_samples_split,2,int,"The minimum number of samples required to split an internal node:

- If int, then consider `min_samples_split` as the minimum number.
- If float, then `min_samples_split` is a fraction and
  `ceil(min_samples_split * n_samples)` are the minimum
  number of samples for each split.

.. versionchanged:: 0.18
   Added float values for fractions."
flaml,model,RandomForestEstimator,min_samples_leaf,1,int,"The minimum number of samples required to be at a leaf node.
A split point at any depth will only be considered if it leaves at
least ``min_samples_leaf`` training samples in each of the left and
right branches.  This may have the effect of smoothing the model,
especially in regression.

- If int, then consider `min_samples_leaf` as the minimum number.
- If float, then `min_samples_leaf` is a fraction and
  `ceil(min_samples_leaf * n_samples)` are the minimum
  number of samples for each node.

.. versionchanged:: 0.18
   Added float values for fractions."
flaml,model,RandomForestEstimator,min_weight_fraction_leaf,0.0,float,"The minimum weighted fraction of the sum total of weights (of all
the input samples) required to be at a leaf node. Samples have
equal weight when sample_weight is not provided."
flaml,model,RandomForestEstimator,max_features,sqrt,str,"The number of features to consider when looking for the best split:

- If int, then consider `max_features` features at each split.
- If float, then `max_features` is a fraction and
  `max(1, int(max_features * n_features_in_))` features are considered at each
  split.
- If ""sqrt"", then `max_features=sqrt(n_features)`.
- If ""log2"", then `max_features=log2(n_features)`.
- If None, then `max_features=n_features`.

.. versionchanged:: 1.1
    The default of `max_features` changed from `""auto""` to `""sqrt""`.
Note: the search for a split does not stop until at least one
valid partition of the node samples is found, even if it requires to
effectively inspect more than ``max_features`` features."
flaml,model,RandomForestEstimator,max_leaf_nodes,None,NoneType,"Grow trees with ``max_leaf_nodes`` in best-first fashion.
Best nodes are defined as relative reduction in impurity.
If None then unlimited number of leaf nodes."
flaml,model,RandomForestEstimator,min_impurity_decrease,0.0,float,"A node will be split if this split induces a decrease of the impurity
greater than or equal to this value.

The weighted impurity decrease equation is the following::

    N_t / N * (impurity - N_t_R / N_t * right_impurity
                        - N_t_L / N_t * left_impurity)

where ``N`` is the total number of samples, ``N_t`` is the number of
samples at the current node, ``N_t_L`` is the number of samples in the
left child, and ``N_t_R`` is the number of samples in the right child.

``N``, ``N_t``, ``N_t_R`` and ``N_t_L`` all refer to the weighted sum,
if ``sample_weight`` is passed.

.. versionadded:: 0.19"
flaml,model,RandomForestEstimator,bootstrap,True,bool,"Whether bootstrap samples are used when building trees. If False, the
whole dataset is used to build each tree."
flaml,model,RandomForestEstimator,oob_score,False,bool,"Whether to use out-of-bag samples to estimate the generalization score.
By default, :func:`~sklearn.metrics.accuracy_score` is used.
Provide a callable with signature `metric(y_true, y_pred)` to use a
custom metric. Only available if `bootstrap=True`."
flaml,model,RandomForestEstimator,n_jobs,None,NoneType,"The number of jobs to run in parallel. :meth:`fit`, :meth:`predict`,
:meth:`decision_path` and :meth:`apply` are all parallelized over the
trees. ``None`` means 1 unless in a :obj:`joblib.parallel_backend`
context. ``-1`` means using all processors. See :term:`Glossary
<n_jobs>` for more details."
flaml,model,RandomForestEstimator,random_state,None,NoneType,"Controls both the randomness of the bootstrapping of the samples used
when building trees (if ``bootstrap=True``) and the sampling of the
features to consider when looking for the best split at each node
(if ``max_features < n_features``).
See :term:`Glossary <random_state>` for details."
flaml,model,RandomForestEstimator,verbose,0,int,Controls the verbosity when fitting and predicting.
flaml,model,RandomForestEstimator,warm_start,False,bool,"When set to ``True``, reuse the solution of the previous call to fit
and add more estimators to the ensemble, otherwise, just fit a whole
new forest. See :term:`Glossary <warm_start>` and
:ref:`gradient_boosting_warm_start` for details."
flaml,model,RandomForestEstimator,class_weight,None,NoneType,"Weights associated with classes in the form ``{class_label: weight}``.
If not given, all classes are supposed to have weight one. For
multi-output problems, a list of dicts can be provided in the same
order as the columns of y.

Note that for multioutput (including multilabel) weights should be
defined for each class of every column in its own dict. For example,
for four-class multilabel classification weights should be
[{0: 1, 1: 1}, {0: 1, 1: 5}, {0: 1, 1: 1}, {0: 1, 1: 1}] instead of
[{1:1}, {2:5}, {3:1}, {4:1}].

The ""balanced"" mode uses the values of y to automatically adjust
weights inversely proportional to class frequencies in the input data
as ``n_samples / (n_classes * np.bincount(y))``

The ""balanced_subsample"" mode is the same as ""balanced"" except that
weights are computed based on the bootstrap sample for every tree
grown.

For multi-output, the weights of each column of y will be multiplied.

Note that these weights will be multiplied with sample_weight (passed
through the fit method) if sample_weight is specified."
flaml,model,RandomForestEstimator,ccp_alpha,0.0,float,"Complexity parameter used for Minimal Cost-Complexity Pruning. The
subtree with the largest cost complexity that is smaller than
``ccp_alpha`` will be chosen. By default, no pruning is performed. See
:ref:`minimal_cost_complexity_pruning` for details.

.. versionadded:: 0.22"
flaml,model,RandomForestEstimator,max_samples,None,NoneType,"If bootstrap is True, the number of samples to draw from X
to train each base estimator.

- If None (default), then draw `X.shape[0]` samples.
- If int, then draw `max_samples` samples.
- If float, then draw `max(round(n_samples * max_samples), 1)` samples. Thus,
  `max_samples` should be in the interval `(0.0, 1.0]`.

.. versionadded:: 0.22"
flaml,model,ExtraTreesEstimator,n_estimators,100,int,"The number of trees in the forest.

.. versionchanged:: 0.22
   The default value of ``n_estimators`` changed from 10 to 100
   in 0.22."
flaml,model,ExtraTreesEstimator,criterion,gini,str,"The function to measure the quality of a split. Supported criteria are
""gini"" for the Gini impurity and ""log_loss"" and ""entropy"" both for the
Shannon information gain, see :ref:`tree_mathematical_formulation`.
Note: This parameter is tree-specific."
flaml,model,ExtraTreesEstimator,max_depth,None,NoneType,"The maximum depth of the tree. If None, then nodes are expanded until
all leaves are pure or until all leaves contain less than
min_samples_split samples."
flaml,model,ExtraTreesEstimator,min_samples_split,2,int,"The minimum number of samples required to split an internal node:

- If int, then consider `min_samples_split` as the minimum number.
- If float, then `min_samples_split` is a fraction and
  `ceil(min_samples_split * n_samples)` are the minimum
  number of samples for each split.

.. versionchanged:: 0.18
   Added float values for fractions."
flaml,model,ExtraTreesEstimator,min_samples_leaf,1,int,"The minimum number of samples required to be at a leaf node.
A split point at any depth will only be considered if it leaves at
least ``min_samples_leaf`` training samples in each of the left and
right branches.  This may have the effect of smoothing the model,
especially in regression.

- If int, then consider `min_samples_leaf` as the minimum number.
- If float, then `min_samples_leaf` is a fraction and
  `ceil(min_samples_leaf * n_samples)` are the minimum
  number of samples for each node.

.. versionchanged:: 0.18
   Added float values for fractions."
flaml,model,ExtraTreesEstimator,min_weight_fraction_leaf,0.0,float,"The minimum weighted fraction of the sum total of weights (of all
the input samples) required to be at a leaf node. Samples have
equal weight when sample_weight is not provided."
flaml,model,ExtraTreesEstimator,max_features,sqrt,str,"The number of features to consider when looking for the best split:

- If int, then consider `max_features` features at each split.
- If float, then `max_features` is a fraction and
  `max(1, int(max_features * n_features_in_))` features are considered at each
  split.
- If ""sqrt"", then `max_features=sqrt(n_features)`.
- If ""log2"", then `max_features=log2(n_features)`.
- If None, then `max_features=n_features`.

.. versionchanged:: 1.1
    The default of `max_features` changed from `""auto""` to `""sqrt""`.
Note: the search for a split does not stop until at least one
valid partition of the node samples is found, even if it requires to
effectively inspect more than ``max_features`` features."
flaml,model,ExtraTreesEstimator,max_leaf_nodes,None,NoneType,"Grow trees with ``max_leaf_nodes`` in best-first fashion.
Best nodes are defined as relative reduction in impurity.
If None then unlimited number of leaf nodes."
flaml,model,ExtraTreesEstimator,min_impurity_decrease,0.0,float,"A node will be split if this split induces a decrease of the impurity
greater than or equal to this value.

The weighted impurity decrease equation is the following::

    N_t / N * (impurity - N_t_R / N_t * right_impurity
                        - N_t_L / N_t * left_impurity)

where ``N`` is the total number of samples, ``N_t`` is the number of
samples at the current node, ``N_t_L`` is the number of samples in the
left child, and ``N_t_R`` is the number of samples in the right child.

``N``, ``N_t``, ``N_t_R`` and ``N_t_L`` all refer to the weighted sum,
if ``sample_weight`` is passed.

.. versionadded:: 0.19"
flaml,model,ExtraTreesEstimator,bootstrap,False,bool,"Whether bootstrap samples are used when building trees. If False, the
whole dataset is used to build each tree."
flaml,model,ExtraTreesEstimator,oob_score,False,bool,"Whether to use out-of-bag samples to estimate the generalization score.
By default, :func:`~sklearn.metrics.accuracy_score` is used.
Provide a callable with signature `metric(y_true, y_pred)` to use a
custom metric. Only available if `bootstrap=True`."
flaml,model,ExtraTreesEstimator,n_jobs,None,NoneType,"The number of jobs to run in parallel. :meth:`fit`, :meth:`predict`,
:meth:`decision_path` and :meth:`apply` are all parallelized over the
trees. ``None`` means 1 unless in a :obj:`joblib.parallel_backend`
context. ``-1`` means using all processors. See :term:`Glossary
<n_jobs>` for more details."
flaml,model,ExtraTreesEstimator,random_state,None,NoneType,"Controls 3 sources of randomness:

- the bootstrapping of the samples used when building trees
  (if ``bootstrap=True``)
- the sampling of the features to consider when looking for the best
  split at each node (if ``max_features < n_features``)
- the draw of the splits for each of the `max_features`
See :term:`Glossary <random_state>` for details."
flaml,model,ExtraTreesEstimator,verbose,0,int,Controls the verbosity when fitting and predicting.
flaml,model,ExtraTreesEstimator,warm_start,False,bool,"When set to ``True``, reuse the solution of the previous call to fit
and add more estimators to the ensemble, otherwise, just fit a whole
new forest. See :term:`Glossary <warm_start>` and
:ref:`gradient_boosting_warm_start` for details."
flaml,model,ExtraTreesEstimator,class_weight,None,NoneType,"Weights associated with classes in the form ``{class_label: weight}``.
If not given, all classes are supposed to have weight one. For
multi-output problems, a list of dicts can be provided in the same
order as the columns of y.

Note that for multioutput (including multilabel) weights should be
defined for each class of every column in its own dict. For example,
for four-class multilabel classification weights should be
[{0: 1, 1: 1}, {0: 1, 1: 5}, {0: 1, 1: 1}, {0: 1, 1: 1}] instead of
[{1:1}, {2:5}, {3:1}, {4:1}].

The ""balanced"" mode uses the values of y to automatically adjust
weights inversely proportional to class frequencies in the input data
as ``n_samples / (n_classes * np.bincount(y))``

The ""balanced_subsample"" mode is the same as ""balanced"" except that
weights are computed based on the bootstrap sample for every tree
grown.

For multi-output, the weights of each column of y will be multiplied.

Note that these weights will be multiplied with sample_weight (passed
through the fit method) if sample_weight is specified."
flaml,model,ExtraTreesEstimator,ccp_alpha,0.0,float,"Complexity parameter used for Minimal Cost-Complexity Pruning. The
subtree with the largest cost complexity that is smaller than
``ccp_alpha`` will be chosen. By default, no pruning is performed. See
:ref:`minimal_cost_complexity_pruning` for details.

.. versionadded:: 0.22"
